,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Votes
351,Lodge 49,2018–2019,51,"Comedy, Drama, Mystery",7.6,"4,063"
352,Uncle Drew,2018,103,"Comedy, Sport",5.7,"14,258"
353,The Gunman,2015,115,"Action, Adventure, Crime",5.8,"41,001"
354,Shin Evangelion Gekijôban,2021,154,"Animation, Action, Drama",8.0,"9,008"
355,Banana Fish,2018,22,"Animation, Action, Adventure",8.2,"5,548"
356,The Blackwell Ghost,2017 Video,59,Horror,6.0,"1,879"
357,Four More Shots Please!,2019–2020,60,"Comedy, Drama, Romance",6.9,"22,029"
358,Vanguard,I 2020,107,"Action, Adventure, Comedy",4.7,"5,331"
359,Shotgun Wedding,2023,***,"Action, Comedy, Romance",***,***
360,Black Box,II 2020,100,"Horror, Mystery, Sci-Fi",6.2,"14,012"
361,Just Add Magic,2015–2019,27,"Comedy, Drama, Family",8.2,"2,882"
362,Loudermilk,2017,30,"Comedy, Drama",7.7,"4,417"
363,Last Flag Flying,2017,125,"Comedy, Drama, War",6.8,"25,354"
364,The Romanoffs,2018,60,Drama,6.9,"5,878"
365,Le bal des folles,2021,122,"Drama, Thriller",6.6,"3,024"
366,El Cid,2020,70,"Action, Drama, History",6.6,"3,466"
